"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","ID","gc","term","Q1","Q44","Q45_1","Q47","Q48","Q49","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q12","Q13","Q11_1","Q11_2","Q11_3","Q11_4","Q14","Q15","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q27","Q28","Q26_1","Q26_2","Q26_3","Q26_4","Q29","Q30","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42","Q43","Q46_1","Q50","Q51","DO_BR_FL_11","random","FEMALE","AGE","BS","AD","INCOME","SAFEB","DENYGMB","WARMB","DENYGWB","DENYBB","SCIGM","SCIGW","KNOWGM1","KNOWGM2","KNOWGM3","KNOWGM","KNOWGW1","KNOWGW2","KNOWGW3","KNOWGW","ICGMB","ICGWB","SD","D","LD","I","SR","R","LR","IDK1","OTH","DEM","REP","EL","SL","M","EC","SC","IDK2","CRT1","CRT2","CRT3","CRT","Y","Parti","ConnaisOGM","ConnaisRechClim","PercepOGM","PercepRechClim","Sexe","Revenu","Bachelor"
"11","R_5A2telBy1Vafe2p","Default Response Set","Anonymous",NA,NA,"131.193.224.99",0,"24APR13:18:17:00","24APR13:18:22:00",1,"c64306caf016fc484395a68ac4b1219b",1,"",1,1,2,1,2,2,3,3,2,3,3,"3",1,2,2,1,1,44.16,44.16,44.162,1,3,2,3,3,3,3,3,3,4,3,3,3,"2",1,1,1,1,1,33.063,33.063,33.066,1,3,3,3,3,3,3,3,"2","1",4,3,10,2,2,7,1,"0.1","100","86","13","10","2","GMO Questions|Global Warming Questions",1,0,2,1,0,2,2,0,2,0,0,2,3,0,1,1,2,0,0,0,0,"9","8",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"A","autre",2,0,2,3,"homme",2,1
"12","R_cMTEDyutTyXRxmR","Default Response Set","Anonymous",NA,NA,"76.124.73.163",0,"24APR13:18:15:00","24APR13:18:23:00",1,"42f99f35a3a5ee6acecdae63ea350720",1,"",1,1,17,1,1,5,3,3,3,4,3,"2",2,1,1,1,1,32.655,32.655,32.676,1,3,2,3,3,4,4,3,5,5,5,1,4,"1",1,1,1,1,1,32.503,32.503,32.525,1,5,4,5,5,2,2,1,"1","1",3,3,1,1,2,9,1,"10","20","24","38","4","1","GMO Questions|Global Warming Questions",1,0,17,1,1,5,2,0,4,0,0,3,5,1,0,0,1,0,0,0,0,"9","6",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"A","Democrate",1,0,3,5,"homme",5,1
"13","R_5737uk10yVmd3ff","Default Response Set","Anonymous",NA,NA,"96.26.206.152",0,"24APR13:18:15:00","24APR13:18:23:00",1,"7ab0474484afe1d61e0031dc5c073429",1,"",1,1,34,1,1,2,2,2,2,4,3,"4",1,2,2,1,1,2.295,34.265,34.278,2,3,3,2,2,3,3,4,3,3,3,3,4,"2",1,2,1,1,1,1.499,33.353,33.366,2,3,3,4,2,3,4,2,"2","2",5,3,1,1,2,7,1,"0.1","100","24","28","10","1","Global Warming Questions|GMO Questions",0,0,34,1,1,2,1,1,2,0,1,2,3,0,1,1,2,0,1,0,1,"11","9",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"B","Republicain",2,1,2,3,"homme",2,1
"14","R_3gzfxWYpExbT1Ih","Default Response Set","Anonymous",NA,NA,"209.6.14.154",0,"24APR13:18:14:00","24APR13:18:23:00",1,"64b11933fb82419970cda75461a9735b",1,"",1,2,13,1,1,2,3,3,3,4,1,"3",1,1,1,1,1,37.038,37.038,37.134,1,4,2,2,2,4,3,3,1,1,2,3,4,"3",1,1,2,1,1,33.558,33.558,33.658,1,3,3,3,3,3,2,3,"2","2",6,3,1,2,1,7,1,"0.1","100","24","21","10","1","GMO Questions|Global Warming Questions",1,1,13,1,1,2,2,0,0,1,2,3,2,0,0,0,0,0,0,1,1,"8","10",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"C","Republicain",0,1,3,2,"femme",2,1
"15","R_2beeAZslRLSK017","Default Response Set","Anonymous",NA,NA,"24.214.243.205",0,"24APR13:18:15:00","24APR13:18:23:00",1,"557a6f8c88fd4176f58a202e69f241ab",1,"",1,2,17,1,1,3,1,1,4,4,4,"5",1,1,2,1,1,50.954,50.954,50.961,1,2,1,1,1,4,4,5,4,4,4,2,4,"1",1,1,1,1,1,34.823,34.823,34.83,1,4,4,4,4,1,3,2,"1","1",4,3,1,1,3,9,1,"0.1","100","24","42","8","1","Global Warming Questions|GMO Questions",0,1,17,1,1,3,0,1,3,0,1,4,4,0,0,1,1,0,0,0,0,"13","7",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"B","autre",1,0,4,4,"femme",3,1
"16","R_3aPVmPCC2RIjcR7","Default Response Set","Anonymous",NA,NA,"71.198.107.42",0,"24APR13:18:13:00","24APR13:18:23:00",1,"0c8fb686969fb454591b6d318c85d84a",1,"",1,1,9,2,2,4,3,3,3,4,2,"3",2,2,2,1,1,38.734,40.662,40.667,2,4,4,4,4,3,2,3,4,4,3,3,2,"4",1,2,2,1,1,46.263,47.583,47.588,2,5,5,5,5,3,1,3,"2","2",2,3,1,1,2,9,6,"0.1","100 minutes","24 days","5","2","5","GMO Questions|Global Warming Questions",1,0,9,0,0,4,2,0,3,0,0,3,3,1,1,1,3,0,1,1,2,"9","9",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"A","Democrate",3,2,3,3,"homme",4,2
"17","R_9owpZMcMfMUxDGl","Default Response Set","Anonymous",NA,NA,"72.213.166.83",0,"24APR13:18:16:00","24APR13:18:23:00",1,"9fd88ffca06c26d3767eed49274696c5",1,"",1,1,37,2,2,4,4,4,3,3,3,"3",2,2,1,1,1,39.741,39.741,39.743,1,4,4,4,4,2,2,3,3,2,2,3,4,"3",1,2,2,1,1,33.999,33.999,34.001,1,4,3,2,2,3,4,3,"2","1",6,4,1,1,2,7,1,"0.1","20 min","20","36","1","1","Global Warming Questions|GMO Questions",0,0,37,0,0,4,3,0,2,0,0,3,2,1,1,0,2,0,1,1,2,"9","10",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"A","Republicain",2,2,3,2,"homme",4,2
"18","R_6VTmJfBZkcE8mah","Default Response Set","Anonymous",NA,NA,"208.102.110.45",0,"24APR13:18:13:00","24APR13:18:23:00",1,"3eafa760bb6c37d6291f8e2318c38e3d",1,"",1,1,17,1,2,4,3,3,3,3,4,"3",2,2,1,1,1,37.168,37.168,37.189,1,4,4,4,4,2,2,2,4,4,3,2,4,"2",2,1,1,1,1,32.11,32.11,32.132,1,4,5,4,4,2,3,2,"1","1",6,3,1,1,2,9,1,"0.1","100 minutes","24","17","2","1","Global Warming Questions|GMO Questions",0,0,17,1,0,4,2,0,3,0,0,3,3,1,1,0,2,1,0,0,1,"10","8",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"A","Republicain",2,1,3,3,"homme",4,1
"19","R_0O5cXlKkUbBZmYJ","Default Response Set","Anonymous",NA,NA,"63.246.170.252",0,"24APR13:18:13:00","24APR13:18:23:00",1,"902f7d1b48481a71da5eed2d25d3a8d1",1,"",1,1,45,1,1,4,3,3,4,2,2,"2",2,2,2,1,1,49.167,49.167,49.179,1,4,3,3,3,3,3,3,4,4,4,2,2,"1",1,2,2,1,1,72.31,72.31,72.323,1,4,3,4,4,2,2,1,"1","2",2,2,1,1,2,7,1,"0.05","5 minutes","47 days","43","4","1","GMO Questions|Global Warming Questions",1,0,45,1,1,4,2,0,3,0,0,4,4,1,1,1,3,0,1,1,2,"6","5",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,"A","Democrate",3,2,4,4,"homme",4,1
"20","R_3q25e5UKHqZLMz3","Default Response Set","Anonymous",NA,NA,"96.243.100.234",0,"24APR13:18:16:00","24APR13:18:23:00",1,"aa91ce3c57c40e7a2af07fa73441b572",1,"",1,1,22,1,2,7,3,3,4,3,3,"4",2,2,1,1,1,31.88,31.88,31.89,1,4,4,3,3,3,3,4,4,4,4,2,3,"2",1,2,1,1,1,35.34,35.34,35.35,1,4,3,4,4,2,2,2,"1","1",6,5,1,1,2,9,1,"0.1","5","24","20","1","1","Global Warming Questions|GMO Questions",0,0,22,1,0,7,2,0,3,0,0,4,4,1,1,0,2,0,1,0,1,"10","7",0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,"A","Republicain",2,1,4,4,"homme",7,1
"21","R_ahIUO3nQSWCKEpT","Default Response Set","Anonymous",NA,NA,"204.111.68.195",0,"24APR13:18:14:00","24APR13:18:23:00",1,"6a0f9643190b4b361bf8154a045db4d9",1,"",1,2,19,1,1,2,5,5,5,1,1,"1",2,2,2,1,1,42.267,42.267,42.268,1,5,3,5,5,1,1,1,1,1,1,4,5,"2",2,2,2,1,1,45.597,45.597,45.599,1,4,1,1,1,4,5,1,"2","1",4,5,1,2,1,9,6,"0.1","100","24","46","9","1","GMO Questions|Global Warming Questions",1,1,19,1,1,2,4,0,0,1,2,5,1,1,1,1,3,1,1,1,3,"3","11",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"C","autre",3,3,5,1,"femme",2,1
"22","R_8pI9qf88gc0qAjX","Default Response Set","Anonymous",NA,NA,"98.237.14.27",0,"24APR13:18:14:00","24APR13:18:23:00",1,"f11093723920d7736f08786a554851a6",1,"",1,2,44,1,1,6,4,4,4,3,2,"1",2,2,2,1,1,45.261,45.261,45.317,1,5,4,4,4,2,2,1,4,4,4,2,3,"1",2,2,2,1,1,42.251,42.251,42.303,1,4,3,4,4,1,2,1,"1","1",6,4,1,1,2,7,5,"0.05","5 minutes","47 days","38","2","1","GMO Questions|Global Warming Questions",1,1,44,1,1,6,3,0,3,0,0,4,4,1,1,1,3,1,1,1,3,"6","6",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,"A","Republicain",3,3,4,4,"femme",6,1
"23","R_ezVpgaRB4Rlb6Wp","Default Response Set","Anonymous",NA,NA,"64.134.164.190",0,"24APR13:18:17:00","24APR13:18:23:00",1,"cd4ead46fc1c81c57d6f65bd9995cb95",1,"",1,1,36,2,2,4,2,3,4,3,3,"3",2,2,2,1,1,17.487,32.854,32.857,4,3,3,3,3,3,2,3,5,5,4,4,3,"2",1,1,1,1,1,31.793,31.793,31.797,1,5,5,5,5,2,3,2,"1","1",7,5,1,2,1,7,1,"0.1","5","24","14","10","1","GMO Questions|Global Warming Questions",1,0,36,0,0,4,1,1,4,0,1,4,4,1,1,1,3,0,0,0,0,"9","9",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,"B","Republicain",3,0,4,4,"homme",4,2
"24","R_0weDSN5qc0QUhlX","Default Response Set","Anonymous",NA,NA,"173.74.121.216",0,"24APR13:18:17:00","24APR13:18:23:00",1,"0d4ef57fcf3edb044674bad77c562e4f",1,"",1,1,25,1,2,4,4,4,5,2,1,"1",2,2,2,1,1,31.843,31.843,31.849,1,4,5,5,5,1,1,1,1,1,5,5,5,"5",1,2,2,1,1,32.292,32.292,32.301,1,4,1,1,1,5,5,5,"2","1",7,4,1,1,2,7,1,"0.05","6 MINUTES","24 DAYS","43","2","5","GMO Questions|Global Warming Questions",1,0,25,1,0,4,3,0,0,1,2,5,5,1,1,1,3,0,1,1,2,"4","15",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,"C","Republicain",3,2,5,5,"homme",4,1
"25","R_6VDH3G1MJu0c63z","Default Response Set","Anonymous",NA,NA,"72.23.102.166",0,"24APR13:18:17:00","24APR13:18:23:00",1,"de47997ef036a1804ca31ad7a04125fa",1,"",1,2,29,1,1,4,3,3,3,3,3,"3",1,2,1,1,1,38.052,38.052,38.062,1,4,3,3,3,3,3,3,4,4,4,3,3,"3",1,1,1,1,1,41.188,41.188,41.196,1,4,4,3,3,3,3,3,"1","1",2,3,1,5,5,9,6,"0.6","100","24","35","9","1","GMO Questions|Global Warming Questions",1,1,29,1,1,4,2,0,3,0,0,3,4,0,1,0,1,0,0,0,0,"9","9",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"A","Democrate",1,0,3,4,"femme",4,1
"26","R_bCM6meNw88ji61v","Default Response Set","Anonymous",NA,NA,"71.113.225.79",0,"24APR13:18:16:00","24APR13:18:23:00",1,"26c274e891eae60b4888a4b10960eb0f",1,"",1,1,7,2,2,3,4,4,3,3,4,"3",1,2,2,1,1,13.227,33.211,33.212,11,4,4,4,4,3,4,5,4,5,4,3,4,"3",1,1,2,1,1,15.657,43.689,43.69,7,4,4,4,5,3,3,3,"1","1",8,3,1,3,3,4,2,"0.1","1","14","43","2","3","GMO Questions|Global Warming Questions",1,0,7,0,0,3,3,0,3,0,0,3,4,0,1,1,2,0,0,1,1,"10","10",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"A","autre",2,1,3,4,"homme",3,2
"27","R_4YhJkv2SRxTYn8p","Default Response Set","Anonymous",NA,NA,"71.211.190.38",0,"24APR13:18:16:00","24APR13:18:24:00",1,"20c15c25d9f824444c377630d56bf16e",1,"",1,1,36,1,1,7,4,4,3,3,3,"2",2,2,2,1,1,39.275,39.275,39.276,1,3,3,4,4,3,2,1,3,3,3,3,4,"2",2,2,2,1,1,47.264,47.264,47.265,1,4,3,2,2,3,4,2,"2","2",4,3,1,1,2,7,1,"0.05","5 min","47 days","6","4","1","Global Warming Questions|GMO Questions",0,0,36,1,1,7,3,0,2,0,0,3,3,1,1,1,3,1,1,1,3,"8","9",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"A","autre",3,3,3,3,"homme",7,1
"28","R_5hhQdeiBd5o2JV3","Default Response Set","Anonymous",NA,NA,"174.101.238.16",0,"24APR13:18:13:00","24APR13:18:24:00",1,"4f39adc19b6d9f62ae97aa780b65108a",1,"",1,1,27,1,2,4,3,3,3,3,3,"3",2,2,2,1,1,34.471,34.471,34.479,1,4,5,4,4,2,2,2,3,3,3,3,3,"3",1,2,2,1,1,50.924,50.924,50.931,1,4,3,3,3,3,3,3,"1","1",2,1,1,1,2,7,1,"0.1","5 minutes","47 days","35","2","1","GMO Questions|Global Warming Questions",1,0,27,1,0,4,2,0,2,0,0,3,3,1,1,1,3,0,1,1,2,"9","9",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"A","Democrate",3,2,3,3,"homme",4,1
"29","R_erscmALZhk4fF1H","Default Response Set","Anonymous",NA,NA,"74.60.5.193",0,"24APR13:18:13:00","24APR13:18:24:00",1,"2b152f33b52840c28adf275590056351",1,"",1,1,14,1,2,5,1,1,1,3,3,"3",2,2,2,1,1,38.582,38.582,38.582,1,5,3,1,1,1,1,1,1,1,1,1,5,"5",1,2,1,1,1,88.839,88.839,88.84,1,5,1,1,1,1,1,1,"2","2",3,1,1,2,1,7,6,"0.1","5 minutes","24","20","10","2","Global Warming Questions|GMO Questions",0,0,14,1,0,5,0,1,0,1,3,1,1,1,1,1,3,0,1,0,1,"9","11",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"D","Democrate",3,1,1,1,"homme",5,1
"30","R_bqiRIcmCyz3Pip7","Default Response Set","Anonymous",NA,NA,"74.99.88.178",0,"24APR13:18:18:00","24APR13:18:24:00",1,"a6a1aab73b8b9f2bdd7413de5c964f9e",1,"",1,2,15,1,1,3,2,2,4,4,4,"3",2,1,2,1,1,32.976,32.976,32.977,1,4,4,4,4,3,3,3,3,3,4,3,4,"2",1,2,2,1,1,31.786,31.786,31.788,1,4,4,4,4,2,2,2,"1","1",6,4,1,1,2,7,1,"10 cents","100 minutes","24","46","1","1","GMO Questions|Global Warming Questions",1,1,15,1,1,3,1,1,2,0,1,4,4,1,0,1,2,0,1,1,2,"11","9",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"B","Republicain",2,2,4,4,"femme",3,1
"31","R_0INse7K9YPYmwCN","Default Response Set","Anonymous",NA,NA,"72.86.176.113",0,"24APR13:18:14:00","24APR13:18:24:00",1,"8fcf7b3802b12420afa2a26f0ed9f0c7",1,"",1,2,37,1,1,2,3,3,3,4,2,"5",2,2,2,1,1,45.211,45.211,45.215,1,4,4,4,4,2,2,5,2,2,3,3,4,"1",1,2,2,1,1,39.352,39.352,39.356,1,5,3,2,2,2,4,2,"2","1",4,3,1,1,2,7,1,"0.1","100","24","38","9","1","GMO Questions|Global Warming Questions",1,1,37,1,1,2,2,0,1,1,2,3,3,1,1,1,3,0,1,1,2,"11","8",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"C","autre",3,2,3,3,"femme",2,1
"32","R_0ln8nUG73JiUdIV","Default Response Set","Anonymous",NA,NA,"72.200.90.232",0,"24APR13:18:14:00","24APR13:18:24:00",1,"173af5c13c4ef205447e9b20b1285599",1,"",1,2,13,1,1,3,2,2,3,4,2,"4",2,2,2,1,1,35.443,35.443,35.444,1,4,3,2,2,4,2,4,5,5,4,1,2,"1",1,1,2,1,1,38.723,38.723,38.724,1,5,3,5,4,1,2,1,"1","2",2,2,1,1,2,7,1,"0.05","5","47","3","8","1","GMO Questions|Global Warming Questions",1,1,13,1,1,3,1,1,4,0,1,3,4,1,1,1,3,0,0,1,1,"10","4",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,3,"B","Democrate",3,1,3,4,"femme",3,1
"33","R_9KY48GsMrTkneeh","Default Response Set","Anonymous",NA,NA,"174.62.70.105",0,"24APR13:18:16:00","24APR13:18:24:00",1,"7fa4bd4ca42dfc82fa7432cffd483b38",1,"",1,2,35,1,2,3,2,2,3,3,3,"2",2,1,2,1,1,31.38,31.38,31.388,1,5,4,4,4,2,2,1,5,5,5,2,1,"1",1,1,1,1,1,33.71,33.71,33.718,1,5,5,5,5,2,1,1,"1","1",1,1,1,1,2,7,1,"0.1","100","don't k","5","8","1","Global Warming Questions|GMO Questions",0,1,35,1,0,3,1,1,4,0,1,3,5,1,0,1,2,0,0,0,0,"8","4",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"B","Democrate",2,0,3,5,"femme",3,1
