"X","y","Pays","Sexe","Age","Education","Statut_emploi","Revenu","Residence","Duree","mode_pref","StatutEmploi","ConsEnv"
73,0,"Autriche","homme",27,"universite","Employed","faible","zone rurale",40,"vehicule individuel","employe",4
74,0,"Tchéquie","homme",29,"secondaire","Employed","tres faible","aire metropolitaine",65,"transport collectif","employe",10
75,0,"Danemark","homme",59,"premier cycle","Not Employed","faible","petite-moyenne ville",10,"transport collectif","sans emploi",7
76,0,"Roumanie","homme",27,"secondaire","Employed","moyen","grande ville",45,"transport collectif","employe",7
77,0,"Autriche","homme",35,"secondaire","Employed","eleve","aire metropolitaine",35,"transport collectif","employe",7
78,0,"Estonie","femme",27,"universite","Not Employed","moyen","petite-moyenne ville",30,"marche","sans emploi",5
79,0,"Slovénie","homme",29,"universite","Employed","moyen","petite-moyenne ville",35,"transport collectif","employe",8
80,0,"Ireland","femme",29,"secondaire","Employed","moyen","grande ville",10,"vehicule individuel","employe",8
81,0,"France","femme",28,"universite","Employed","eleve","grande ville",60,"transport collectif","employe",6
82,0,"France","femme",36,"secondaire","Employed","moyen","zone rurale",15,"vehicule individuel","employe",8
83,0,"Croatie","femme",32,"universite","Employed","faible","petite-moyenne ville",15,"marche","employe",7
84,1,"Allemagne","homme",29,"secondaire","Employed","tres eleve","aire metropolitaine",121,"velo","employe",10
85,0,"Autriche","femme",46,"secondaire inferieur","Employed","moyen","zone rurale",20,"vehicule individuel","employe",5
86,0,"Croatie","homme",46,"secondaire","Employed","moyen","zone rurale",35,"vehicule individuel","employe",8
87,0,"Grèce","femme",27,"universite","Employed","moyen","aire metropolitaine",15,"vehicule individuel","employe",8
88,1,"Italie","homme",49,"secondaire","Not Employed","tres faible","aire metropolitaine",60,"marche","sans emploi",10
89,0,"Ireland","homme",23,"universite","Not Employed","moyen","grande ville",50,"transport collectif","sans emploi",7
90,0,"Autriche","homme",31,"universite","Employed","moyen","aire metropolitaine",120,"transport collectif","employe",8
91,0,"Grèce","homme",50,"universite","Employed","moyen","aire metropolitaine",65,"vehicule individuel","employe",5
92,1,"Danemark","femme",22,"universite","Not Employed","moyen","aire metropolitaine",30,"velo","sans emploi",4
93,1,"Grèce","femme",24,"universite","Employed","moyen","petite-moyenne ville",60,"marche","employe",8
94,1,"Slovénie","femme",40,"universite","Employed","moyen","zone rurale",5,"marche","employe",9
95,0,"Bulgarie","femme",46,"universite","Employed","moyen","zone rurale",70,"vehicule individuel","employe",8
96,1,"Belgique","femme",46,"universite","Employed","faible","aire metropolitaine",35,"velo","employe",9
97,0,"Slovaquie","femme",23,"universite","Employed","moyen","petite-moyenne ville",30,"marche","employe",1
98,0,"Autriche","homme",52,"premier cycle","Not Employed","tres faible","aire metropolitaine",20,"transport collectif","sans emploi",8
99,0,"Grèce","homme",42,"universite","Not Employed","moyen","petite-moyenne ville",20,"vehicule individuel","sans emploi",8
100,0,"Belgique","homme",49,"universite","Employed","moyen","petite-moyenne ville",90,"vehicule individuel","employe",7
101,0,"Autriche","femme",56,"secondaire","Not Employed","moyen","petite-moyenne ville",30,"vehicule individuel","sans emploi",8
102,1,"Pays-Bas","homme",45,"secondaire","Employed","moyen","petite-moyenne ville",15,"velo","employe",7
103,0,"Portugal","femme",23,"universite","Employed","faible","petite-moyenne ville",15,"vehicule individuel","employe",8
104,0,"Portugal","femme",52,"secondaire","Employed","moyen","zone rurale",10,"marche","employe",8
105,0,"Ireland","femme",45,"universite","Employed","moyen","grande ville",15,"marche","employe",9
106,0,"Ireland","homme",50,"secondaire","Not Employed","tres faible","aire metropolitaine",15,"marche","sans emploi",4
107,0,"France","homme",40,"universite","Employed","eleve","petite-moyenne ville",10,"vehicule individuel","employe",2
108,0,"Croatie","femme",30,"universite","Employed","moyen","aire metropolitaine",30,"transport collectif","employe",5
109,0,"Estonie","femme",23,"universite","Employed","moyen","petite-moyenne ville",60,"transport collectif","employe",1
110,0,"Belgique","femme",29,"secondaire","Employed","moyen","petite-moyenne ville",30,"vehicule individuel","employe",7
111,0,"Lituanie","femme",21,"secondaire","Not Employed","moyen","petite-moyenne ville",90,"marche","sans emploi",9
112,0,"Croatie","femme",26,"secondaire","Not Employed","moyen","aire metropolitaine",45,"vehicule individuel","sans emploi",8
113,0,"Autriche","femme",53,"secondaire inferieur","Not Employed","moyen","zone rurale",35,"marche","sans emploi",4
114,0,"Autriche","femme",47,"secondaire inferieur","Employed","sans reponse","zone rurale",90,"vehicule individuel","employe",5
115,1,"Croatie","femme",39,"universite","Employed","moyen","grande ville",15,"marche","employe",8
116,0,"Grèce","femme",31,"universite","Employed","tres faible","zone rurale",5,"vehicule individuel","employe",5
117,0,"Roumanie","femme",42,"universite","Employed","faible","petite-moyenne ville",25,"marche","employe",9
118,0,"Lituanie","femme",46,"secondaire","Employed","faible","petite-moyenne ville",45,"vehicule individuel","employe",4
119,0,"Hongrie","femme",39,"universite","Employed","moyen","petite-moyenne ville",60,"vehicule individuel","employe",5
120,1,"Slovaquie","homme",48,"universite","Not Employed","tres faible","petite-moyenne ville",20,"velo","sans emploi",9
121,0,"Portugal","femme",52,"universite","Employed","moyen","grande ville",10,"vehicule individuel","employe",5
122,0,"Bulgarie","femme",45,"universite","Employed","moyen","grande ville",90,"marche","employe",10
123,0,"Ireland","femme",29,"secondaire","Not Employed","faible","zone rurale",20,"marche","sans emploi",8
124,0,"France","homme",42,"secondaire","Employed","tres faible","zone rurale",10,"vehicule individuel","employe",1
125,0,"Ireland","homme",19,"universite","Not Employed","tres eleve","petite-moyenne ville",40,"vehicule individuel","sans emploi",4
126,0,"Ireland","femme",57,"secondaire inferieur","Employed","moyen","grande ville",20,"transport collectif","employe",7
127,0,"Slovaquie","femme",54,"secondaire","Not Employed","moyen","aire metropolitaine",30,"vehicule individuel","sans emploi",10
128,0,"Pays-Bas","homme",33,"secondaire","Employed","eleve","grande ville",30,"vehicule individuel","employe",5
129,0,"Estonie","homme",19,"universite","Not Employed","moyen","grande ville",20,"transport collectif","sans emploi",7
130,0,"Pologne","femme",31,"secondaire","Employed","moyen","zone rurale",150,"vehicule individuel","employe",7
131,0,"France","femme",37,"secondaire inferieur","Employed","moyen","petite-moyenne ville",25,"marche","employe",8
132,0,"Italie","homme",48,"secondaire","Employed","faible","grande ville",25,"vehicule individuel","employe",8
133,0,"Italie","femme",50,"universite","Not Employed","faible","petite-moyenne ville",20,"vehicule individuel","sans emploi",8
134,0,"Espagne","femme",30,"secondaire","Not Employed","faible","aire metropolitaine",30,"vehicule individuel","sans emploi",5
135,0,"Portugal","femme",26,"universite","Employed","moyen","grande ville",30,"transport collectif","employe",9
136,0,"Portugal","femme",47,"secondaire","Employed","moyen","petite-moyenne ville",70,"vehicule individuel","employe",8
137,0,"Croatie","femme",20,"secondaire","Not Employed","eleve","petite-moyenne ville",20,"marche","sans emploi",10
138,0,"Ireland","homme",42,"universite","Employed","moyen","zone rurale",20,"vehicule individuel","employe",9
139,0,"Autriche","femme",25,"secondaire","Employed","moyen","petite-moyenne ville",20,"marche","employe",4
140,0,"Slovénie","femme",43,"secondaire","Not Employed","moyen","petite-moyenne ville",30,"marche","sans emploi",10
141,0,"Grèce","femme",44,"universite","Employed","moyen","aire metropolitaine",60,"vehicule individuel","employe",7
142,1,"Finlande","femme",16,"secondaire","Not Employed","tres faible","grande ville",75,"marche","sans emploi",9
143,0,"Croatie","femme",52,"secondaire","Employed","moyen","grande ville",15,"marche","employe",9
144,0,"Autriche","homme",53,"secondaire inferieur","Employed","moyen","petite-moyenne ville",13,"vehicule individuel","employe",5
145,0,"Italie","homme",41,"universite","Employed","faible","petite-moyenne ville",50,"vehicule individuel","employe",5
146,0,"Slovaquie","femme",34,"secondaire","Employed","moyen","grande ville",15,"transport collectif","employe",9
147,0,"Lettonie","femme",41,"universite","Employed","faible","zone rurale",60,"transport collectif","employe",8
148,0,"Lituanie","homme",52,"secondaire inferieur","Employed","moyen","zone rurale",40,"vehicule individuel","employe",8
149,0,"Ireland","homme",24,"universite","Not Employed","eleve","aire metropolitaine",210,"vehicule individuel","sans emploi",8
150,0,"Grèce","femme",41,"universite","Employed","faible","aire metropolitaine",70,"marche","employe",8
151,1,"Slovénie","homme",51,"universite","Employed","moyen","grande ville",25,"velo","employe",8
152,0,"Croatie","femme",29,"universite","Employed","moyen","aire metropolitaine",50,"vehicule individuel","employe",8
153,0,"Allemagne","homme",25,"secondaire inferieur","Employed","moyen","zone rurale",15,"vehicule individuel","employe",8
154,0,"Espagne","femme",53,"secondaire","Employed","faible","aire metropolitaine",45,"marche","employe",8
155,0,"Suède","homme",48,"secondaire","Employed","eleve","grande ville",35,"vehicule individuel","employe",8
156,0,"Ireland","femme",20,"secondaire","Not Employed","tres faible","petite-moyenne ville",5,"marche","sans emploi",8
157,0,"Espagne","femme",35,"secondaire","Employed","tres faible","grande ville",25,"transport collectif","employe",1
158,0,"Italie","femme",52,"secondaire","Not Employed","tres faible","petite-moyenne ville",20,"transport collectif","sans emploi",7
159,1,"Suède","homme",27,"secondaire","Employed","moyen","petite-moyenne ville",20,"velo","employe",10
160,0,"Suède","femme",45,"universite","Employed","eleve","petite-moyenne ville",10,"marche","employe",6
161,0,"Estonie","femme",23,"universite","Employed","moyen","grande ville",40,"vehicule individuel","employe",10
162,0,"France","homme",60,"secondaire inferieur","Not Employed","faible","zone rurale",15,"vehicule individuel","sans emploi",6
163,1,"Hongrie","homme",51,"secondaire inferieur","Employed","faible","aire metropolitaine",55,"velo","employe",8
164,1,"Italie","homme",49,"secondaire","Employed","moyen","petite-moyenne ville",60,"marche","employe",7
165,0,"Bulgarie","homme",36,"universite","Employed","eleve","aire metropolitaine",40,"marche","employe",9
166,0,"Hongrie","femme",26,"premier cycle","Not Employed","sans reponse","grande ville",60,"transport collectif","sans emploi",8
167,0,"Autriche","femme",48,"premier cycle","Not Employed","tres faible","aire metropolitaine",60,"marche","sans emploi",10
168,0,"Finlande","femme",47,"secondaire","Not Employed","faible","zone rurale",60,"vehicule individuel","sans emploi",3
169,0,"Italie","femme",29,"universite","Not Employed","moyen","petite-moyenne ville",10,"marche","sans emploi",8
170,1,"Lettonie","homme",42,"secondaire inferieur","Employed","moyen","aire metropolitaine",0,"marche","employe",8
171,0,"Bulgarie","femme",49,"secondaire","Employed","moyen","grande ville",20,"transport collectif","employe",10
172,0,"Allemagne","femme",48,"secondaire","Employed","faible","grande ville",15,"vehicule individuel","employe",5
173,0,"Roumanie","homme",21,"universite","Not Employed","moyen","petite-moyenne ville",10,"marche","sans emploi",9
174,0,"Estonie","femme",37,"universite","Not Employed","moyen","aire metropolitaine",15,"vehicule individuel","sans emploi",5
175,0,"Espagne","homme",49,"universite","Not Employed","moyen","aire metropolitaine",45,"vehicule individuel","sans emploi",7
176,1,"Pologne","homme",21,"universite","Employed","eleve","grande ville",210,"velo","employe",7
177,0,"Grande Bretagne","homme",50,"secondaire","Employed","moyen","aire metropolitaine",40,"vehicule individuel","employe",1
178,1,"Finlande","homme",29,"secondaire inferieur","Employed","moyen","petite-moyenne ville",60,"marche","employe",9
179,0,"Finlande","femme",38,"secondaire","Not Employed","sans reponse","grande ville",15,"vehicule individuel","sans emploi",8
180,0,"Grèce","homme",35,"secondaire","Not Employed","faible","zone rurale",15,"vehicule individuel","sans emploi",3
181,0,"Danemark","homme",43,"secondaire","Not Employed","tres faible","petite-moyenne ville",15,"vehicule individuel","sans emploi",5
182,0,"Estonie","femme",35,"secondaire","Not Employed","moyen","petite-moyenne ville",30,"marche","sans emploi",8
183,0,"Allemagne","femme",44,"premier cycle","Employed","sans reponse","aire metropolitaine",150,"vehicule individuel","employe",8
184,0,"Allemagne","homme",46,"universite","Employed","tres eleve","grande ville",30,"vehicule individuel","employe",3
185,0,"Roumanie","femme",51,"secondaire","Employed","eleve","grande ville",30,"marche","employe",9
186,0,"Pays-Bas","femme",41,"premier cycle","Not Employed","faible","zone rurale",5,"vehicule individuel","sans emploi",8
187,1,"Finlande","homme",58,"secondaire","Employed","moyen","petite-moyenne ville",10,"marche","employe",4
188,0,"Grande Bretagne","homme",45,"universite","Employed","moyen","zone rurale",20,"vehicule individuel","employe",7
189,0,"Slovaquie","homme",19,"premier cycle","Not Employed","moyen","petite-moyenne ville",20,"marche","sans emploi",4
190,0,"Grande Bretagne","femme",57,"secondaire","Employed","moyen","zone rurale",25,"vehicule individuel","employe",8
191,0,"Bulgarie","homme",35,"universite","Employed","moyen","aire metropolitaine",30,"vehicule individuel","employe",7
192,1,"Lettonie","femme",30,"secondaire","Employed","moyen","petite-moyenne ville",140,"velo","employe",9
193,0,"Pologne","femme",56,"secondaire","Employed","tres faible","petite-moyenne ville",15,"marche","employe",8
194,1,"Grèce","homme",45,"secondaire inferieur","Employed","moyen","petite-moyenne ville",5,"marche","employe",1
195,0,"Slovénie","homme",19,"premier cycle","Not Employed","faible","petite-moyenne ville",70,"transport collectif","sans emploi",10
196,0,"Lettonie","homme",35,"universite","Employed","eleve","grande ville",105,"vehicule individuel","employe",7
197,0,"Lituanie","femme",21,"secondaire inferieur","Not Employed","moyen","grande ville",50,"transport collectif","sans emploi",3
198,1,"Allemagne","homme",55,"secondaire","Employed","faible","grande ville",45,"velo","employe",3
199,0,"Roumanie","homme",41,"secondaire","Employed","faible","petite-moyenne ville",30,"vehicule individuel","employe",5
200,0,"Slovaquie","homme",34,"secondaire","Employed","moyen","grande ville",30,"transport collectif","employe",7
201,0,"Slovaquie","femme",35,"secondaire","Not Employed","faible","petite-moyenne ville",90,"marche","sans emploi",8
202,0,"Grande Bretagne","femme",47,"secondaire","Employed","faible","petite-moyenne ville",25,"transport collectif","employe",8
203,0,"Espagne","femme",39,"universite","Employed","moyen","petite-moyenne ville",25,"transport collectif","employe",6
204,0,"Pologne","femme",48,"secondaire","Not Employed","moyen","grande ville",60,"vehicule individuel","sans emploi",5
205,0,"Espagne","homme",54,"secondaire inferieur","Not Employed","faible","zone rurale",30,"vehicule individuel","sans emploi",8
206,0,"Hongrie","femme",27,"secondaire inferieur","Employed","faible","aire metropolitaine",10,"transport collectif","employe",6
207,0,"Lituanie","homme",17,"secondaire inferieur","Not Employed","faible","petite-moyenne ville",397,"transport collectif","sans emploi",8
208,0,"Hongrie","femme",50,"secondaire","Employed","moyen","aire metropolitaine",10,"vehicule individuel","employe",4
209,0,"Croatie","homme",38,"secondaire","Employed","faible","petite-moyenne ville",150,"transport collectif","employe",5
210,0,"Grande Bretagne","femme",47,"secondaire","Not Employed","faible","petite-moyenne ville",20,"vehicule individuel","sans emploi",3
211,0,"Lituanie","homme",44,"secondaire","Employed","moyen","petite-moyenne ville",35,"marche","employe",7
212,0,"Grande Bretagne","homme",29,"secondaire","Employed","eleve","grande ville",35,"marche","employe",8
213,0,"Portugal","femme",50,"universite","Not Employed","moyen","petite-moyenne ville",30,"marche","sans emploi",9
214,0,"Slovénie","homme",43,"secondaire","Employed","moyen","zone rurale",30,"vehicule individuel","employe",9
215,0,"Slovénie","femme",44,"universite","Not Employed","sans reponse","petite-moyenne ville",5,"marche","sans emploi",7
216,0,"Grande Bretagne","homme",45,"universite","Employed","moyen","petite-moyenne ville",60,"vehicule individuel","employe",8
217,0,"Lituanie","femme",20,"secondaire inferieur","Not Employed","tres faible","aire metropolitaine",40,"transport collectif","sans emploi",9
218,0,"Slovaquie","femme",40,"universite","Not Employed","moyen","petite-moyenne ville",70,"transport collectif","sans emploi",7
219,0,"Suède","homme",60,"secondaire","Employed","moyen","zone rurale",5,"marche","employe",8
220,0,"Slovaquie","femme",27,"secondaire","Employed","sans reponse","petite-moyenne ville",10,"marche","employe",6
221,0,"Bulgarie","femme",49,"universite","Employed","moyen","petite-moyenne ville",20,"marche","employe",8
222,0,"Danemark","femme",17,"secondaire","Not Employed","moyen","zone rurale",20,"vehicule individuel","sans emploi",6
223,0,"Bulgarie","homme",44,"secondaire","Not Employed","faible","petite-moyenne ville",220,"transport collectif","sans emploi",10
224,0,"Bulgarie","femme",38,"universite","Employed","eleve","petite-moyenne ville",35,"vehicule individuel","employe",7
225,0,"Suède","femme",48,"secondaire","Not Employed","faible","petite-moyenne ville",60,"marche","sans emploi",7
226,0,"Roumanie","femme",29,"secondaire","Not Employed","moyen","petite-moyenne ville",105,"transport collectif","sans emploi",8
227,0,"Hongrie","femme",32,"secondaire","Employed","tres faible","aire metropolitaine",50,"transport collectif","employe",8
228,0,"Grande Bretagne","homme",58,"secondaire","Employed","moyen","petite-moyenne ville",25,"vehicule individuel","employe",6
229,0,"Portugal","femme",17,"secondaire","Not Employed","moyen","aire metropolitaine",10,"vehicule individuel","sans emploi",7
230,0,"Portugal","femme",20,"secondaire inferieur","Not Employed","sans reponse","aire metropolitaine",30,"marche","sans emploi",10
231,0,"Pologne","femme",56,"secondaire","Employed","moyen","petite-moyenne ville",20,"vehicule individuel","employe",7
232,0,"Pays-Bas","homme",58,"secondaire","Employed","moyen","petite-moyenne ville",210,"vehicule individuel","employe",8
233,0,"Suède","homme",45,"secondaire","Employed","moyen","zone rurale",10,"vehicule individuel","employe",3
234,0,"Grande Bretagne","homme",50,"secondaire","Employed","faible","petite-moyenne ville",20,"vehicule individuel","employe",4
235,1,"Hongrie","homme",16,"premier cycle","Not Employed","eleve","petite-moyenne ville",15,"marche","sans emploi",7
236,0,"Slovénie","homme",35,"universite","Employed","eleve","petite-moyenne ville",40,"vehicule individuel","employe",8
237,0,"Slovénie","homme",45,"secondaire","Employed","moyen","grande ville",20,"marche","employe",6
238,0,"Roumanie","homme",28,"secondaire","Not Employed","moyen","petite-moyenne ville",20,"marche","sans emploi",6
239,1,"Lettonie","homme",39,"secondaire","Employed","faible","petite-moyenne ville",10,"marche","employe",5
240,0,"Bulgarie","femme",24,"universite","Employed","faible","grande ville",15,"marche","employe",9
241,0,"Slovaquie","femme",35,"secondaire inferieur","Not Employed","faible","petite-moyenne ville",35,"transport collectif","sans emploi",5
242,0,"Danemark","femme",49,"secondaire","Employed","moyen","zone rurale",15,"vehicule individuel","employe",4
243,0,"Pays-Bas","homme",42,"universite","Employed","eleve","grande ville",10,"transport collectif","employe",7
244,0,"Pays-Bas","homme",58,"secondaire inferieur","Not Employed","moyen","petite-moyenne ville",90,"vehicule individuel","sans emploi",7
245,1,"Pays-Bas","femme",57,"secondaire inferieur","Employed","faible","grande ville",20,"velo","employe",7
246,0,"Bulgarie","femme",28,"universite","Employed","moyen","petite-moyenne ville",15,"vehicule individuel","employe",8
247,0,"Danemark","homme",58,"universite","Employed","moyen","petite-moyenne ville",60,"vehicule individuel","employe",3
248,0,"Danemark","femme",54,"universite","Employed","moyen","petite-moyenne ville",40,"vehicule individuel","employe",10
249,0,"Lettonie","homme",43,"universite","Not Employed","tres faible","petite-moyenne ville",60,"vehicule individuel","sans emploi",8
250,0,"Lettonie","femme",30,"secondaire","Not Employed","moyen","petite-moyenne ville",90,"marche","sans emploi",1
251,0,"Lettonie","homme",35,"universite","Not Employed","moyen","grande ville",45,"transport collectif","sans emploi",6
252,0,"Lettonie","femme",38,"secondaire","Not Employed","moyen","grande ville",30,"vehicule individuel","sans emploi",8
253,0,"France","homme",49,"secondaire inferieur","Not Employed","tres faible","petite-moyenne ville",120,"marche","sans emploi",10
254,0,"Autriche","homme",48,"universite","Employed","faible","petite-moyenne ville",60,"transport collectif","employe",7
255,0,"Autriche","femme",32,"universite","Employed","faible","aire metropolitaine",30,"transport collectif","employe",10
256,0,"Autriche","femme",26,"secondaire","Employed","eleve","grande ville",20,"vehicule individuel","employe",7
257,0,"Autriche","femme",26,"universite","Employed","faible","aire metropolitaine",60,"transport collectif","employe",8
258,0,"Autriche","femme",24,"secondaire","Employed","tres faible","aire metropolitaine",30,"transport collectif","employe",10
259,1,"Autriche","femme",24,"secondaire","Not Employed","faible","grande ville",15,"velo","sans emploi",7
260,0,"Autriche","homme",28,"secondaire","Employed","eleve","aire metropolitaine",45,"marche","employe",7
261,0,"Autriche","homme",28,"premier cycle","Employed","moyen","zone rurale",20,"vehicule individuel","employe",9
262,0,"Croatie","homme",32,"secondaire","Employed","moyen","zone rurale",20,"vehicule individuel","employe",7
263,0,"Croatie","femme",45,"secondaire","Employed","moyen","petite-moyenne ville",15,"vehicule individuel","employe",7
